iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
194,158540,0,                       0,158540,158540,0,                       0,158540
195,158539,0,                       0,158541,158541,0,                       0,158539
196,158538,0,                       0,158542,158542,0,                       0,158538
197,158537,0,                       0,158543,158543,0,                       0,158537
198,158538,0,                       0,158542,158542,0,                       0,158538
199,158539,0,                       0,158541,158541,0,                       0,158539
200,158540,0,                       0,158540,158540,0,                       0,158540
201,158539,0,                       0,158541,158541,0,                       0,158539
202,158538,0,                       0,158542,158542,0,                       0,158538
203,158537,0,                       0,158543,158543,0,                       0,158537
204,158538,0,                       0,158542,158542,0,                       0,158538
205,158539,0,                       0,158541,158541,0,                       0,158539
206,158538,0,                       0,158542,158542,0,                       0,158538
207,158539,0,                       0,158541,158541,0,                       0,158539
208,158540,0,                       0,158540,158540,0,                       0,158540
209,158539,0,                       0,158541,158541,0,                       0,158539
210,158540,0,                       0,158540,158540,0,                       0,158540
211,158541,0,                       0,158539,158539,0,                       0,158541
212,158542,0,                       0,158538,158538,0,                       0,158542
213,158541,0,                       0,158539,158539,0,                       0,158541
214,158540,0,                       0,158540,158540,0,                       0,158540
215,158539,0,                       0,158541,158541,0,                       0,158539
216,158540,0,                       0,158540,158540,0,                       0,158540
217,158539,0,                       0,158541,158541,0,                       0,158539
218,158540,0,                       0,158540,158540,0,                       0,158540
219,158541,0,                       0,158539,158539,0,                       0,158541
220,158540,0,                       0,158540,158540,0,                       0,158540
221,158539,0,                       0,158541,158541,0,                       0,158539
222,158538,0,                       0,158542,158542,0,                       0,158538
223,158537,0,                       0,158543,158543,0,                       0,158537
224,158536,0,                       0,158544,158544,0,                       0,158536
225,158535,0,                       0,158545,158545,0,                       0,158535
226,158536,0,                       0,158544,158544,0,                       0,158536
227,158537,0,                       0,158543,158543,0,                       0,158537
228,158538,0,                       0,158542,158542,0,                       0,158538
229,158539,0,                       0,158541,158541,0,                       0,158539
230,158540,0,                       0,158540,158540,0,                       0,158540
231,158539,0,                       0,158541,158541,0,                       0,158539
232,158540,0,                       0,158540,158540,0,                       0,158540
233,158541,0,                       0,158539,158539,0,                       0,158541
234,158542,0,                       0,158538,158538,0,                       0,158542
235,158541,0,                       0,158539,158539,0,                       0,158541
236,158540,0,                       0,158540,158540,0,                       0,158540
237,158539,0,                       0,158541,158541,0,                       0,158539
238,158540,0,                       0,158540,158540,0,                       0,158540
239,158541,0,                       0,158539,158539,0,                       0,158541
240,158540,0,                       0,158540,158540,0,                       0,158540
241,158539,0,                       0,158541,158541,0,                       0,158539
242,158540,0,                       0,158540,158540,0,                       0,158540
243,158539,0,                       0,158541,158541,0,                       0,158539
244,158540,0,                       0,158540,158540,0,                       0,158540
245,158539,0,                       0,158541,158541,0,                       0,158539
246,158540,0,                       0,158540,158540,0,                       0,158540
247,158541,0,                       0,158539,158539,0,                       0,158541
248,158542,0,                       0,158538,158538,0,                       0,158542
249,158541,0,                       0,158539,158539,0,                       0,158541
250,158542,0,                       0,158538,158538,0,                       0,158542
251,158543,0,                       0,158537,158537,0,                       0,158543
252,158544,0,                       0,158536,158536,0,                       0,158544
253,158545,0,                       0,158535,158535,0,                       0,158545
254,158544,0,                       0,158536,158536,0,                       0,158544
255,158543,0,                       0,158537,158537,0,                       0,158543
256,158542,0,                       0,158538,158538,0,                       0,158542
257,158541,0,                       0,158539,158539,0,                       0,158541
258,158542,0,                       0,158538,158538,0,                       0,158542
259,158543,0,                       0,158537,158537,0,                       0,158543
260,158544,0,                       0,158536,158536,0,                       0,158544
261,158543,0,                       0,158537,158537,0,                       0,158543
262,158542,0,                       0,158538,158538,0,                       0,158542
263,158541,0,                       0,158539,158539,0,                       0,158541
264,158542,0,                       0,158538,158538,0,                       0,158542
265,158541,0,                       0,158539,158539,0,                       0,158541
266,158540,0,                       0,158540,158540,0,                       0,158540
267,158539,0,                       0,158541,158541,0,                       0,158539
268,158540,0,                       0,158540,158540,0,                       0,158540
269,158541,0,                       0,158539,158539,0,                       0,158541
270,158542,0,                       0,158538,158538,0,                       0,158542
271,158541,0,                       0,158539,158539,0,                       0,158541
272,158540,0,                       0,158540,158540,0,                       0,158540
273,158541,0,                       0,158539,158539,0,                       0,158541
274,158540,0,                       0,158540,158540,0,                       0,158540
275,158539,0,                       0,158541,158541,0,                       0,158539
276,158540,0,                       0,158540,158540,0,                       0,158540
277,158541,0,                       0,158539,158539,0,                       0,158541
