iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
303,502,0,                       0,498,498,0,                       0,502
304,501,0,                       0,499,499,0,                       0,501
305,500,0,                       0,500,500,0,                       0,500
306,501,0,                       0,499,499,0,                       0,501
307,500,0,                       0,500,500,0,                       0,500
308,501,0,                       0,499,499,0,                       0,501
309,500,0,                       0,500,500,0,                       0,500
310,499,0,                       0,501,501,0,                       0,499
311,498,0,                       0,502,502,0,                       0,498
312,499,0,                       0,501,501,0,                       0,499
313,500,0,                       0,500,500,0,                       0,500
314,499,0,                       0,501,501,0,                       0,499
315,500,0,                       0,500,500,0,                       0,500
316,499,0,                       0,501,501,0,                       0,499
317,498,0,                       0,502,502,0,                       0,498
318,497,0,                       0,503,503,0,                       0,497
319,498,0,                       0,502,502,0,                       0,498
320,499,0,                       0,501,501,0,                       0,499
321,500,0,                       0,500,500,0,                       0,500
322,499,0,                       0,501,501,0,                       0,499
323,498,0,                       0,502,502,0,                       0,498
324,499,0,                       0,501,501,0,                       0,499
325,500,0,                       0,500,500,0,                       0,500
326,499,0,                       0,501,501,0,                       0,499
327,500,0,                       0,500,500,0,                       0,500
328,501,0,                       0,499,499,0,                       0,501
329,502,0,                       0,498,498,0,                       0,502
330,503,0,                       0,497,497,0,                       0,503
331,502,0,                       0,498,498,0,                       0,502
332,501,0,                       0,499,499,0,                       0,501
333,502,0,                       0,498,498,0,                       0,502
334,501,0,                       0,499,499,0,                       0,501
335,500,0,                       0,500,500,0,                       0,500
336,499,0,                       0,501,501,0,                       0,499
337,500,0,                       0,500,500,0,                       0,500
338,501,0,                       0,499,499,0,                       0,501
339,502,0,                       0,498,498,0,                       0,502
340,501,0,                       0,499,499,0,                       0,501
341,502,0,                       0,498,498,0,                       0,502
342,501,0,                       0,499,499,0,                       0,501
343,500,0,                       0,500,500,0,                       0,500
344,499,0,                       0,501,501,0,                       0,499
345,500,0,                       0,500,500,0,                       0,500
346,501,0,                       0,499,499,0,                       0,501
347,502,0,                       0,498,498,0,                       0,502
348,501,0,                       0,499,499,0,                       0,501
349,500,0,                       0,500,500,0,                       0,500
350,499,0,                       0,501,501,0,                       0,499
351,500,0,                       0,500,500,0,                       0,500
352,499,0,                       0,501,501,0,                       0,499
353,498,0,                       0,502,502,0,                       0,498
354,499,0,                       0,501,501,0,                       0,499
355,498,0,                       0,502,502,0,                       0,498
356,499,0,                       0,501,501,0,                       0,499
357,500,0,                       0,500,500,0,                       0,500
358,501,0,                       0,499,499,0,                       0,501
359,500,0,                       0,500,500,0,                       0,500
360,501,0,                       0,499,499,0,                       0,501
361,500,0,                       0,500,500,0,                       0,500
362,501,0,                       0,499,499,0,                       0,501
363,500,0,                       0,500,500,0,                       0,500
364,499,0,                       0,501,501,0,                       0,499
365,500,0,                       0,500,500,0,                       0,500
366,499,0,                       0,501,501,0,                       0,499
367,498,0,                       0,502,502,0,                       0,498
368,499,0,                       0,501,501,0,                       0,499
369,500,0,                       0,500,500,0,                       0,500
370,501,0,                       0,499,499,0,                       0,501
371,500,0,                       0,500,500,0,                       0,500
372,501,0,                       0,499,499,0,                       0,501
373,500,0,                       0,500,500,0,                       0,500
374,501,0,                       0,499,499,0,                       0,501
375,500,0,                       0,500,500,0,                       0,500
376,499,0,                       0,501,501,0,                       0,499
377,500,0,                       0,500,500,0,                       0,500
378,501,0,                       0,499,499,0,                       0,501
379,502,0,                       0,498,498,0,                       0,502
380,501,0,                       0,499,499,0,                       0,501
381,502,0,                       0,498,498,0,                       0,502
382,501,0,                       0,499,499,0,                       0,501
383,500,0,                       0,500,500,0,                       0,500
384,501,0,                       0,499,499,0,                       0,501
385,502,0,                       0,498,498,0,                       0,502
386,501,0,                       0,499,499,0,                       0,501
387,500,0,                       0,500,500,0,                       0,500
388,499,0,                       0,501,501,0,                       0,499
