iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
110,540,yes,4.05,1259.00,-228774.95,+0.00%,500,500,4142,4104,50.00%,                50.23%,49.99%,5,40.00%
111,236,no,0.95,1259.95,-228774.00,+0.00%,499,501,4130,4121,49.90%,                50.05%,49.79%,2,100.00%
112,697,yes,1.05,1261.00,-228772.95,+0.00%,500,500,4143,4108,50.00%,                50.21%,49.99%,3,66.67%
113,908,no,8.95,1269.95,-228764.00,+0.00%,499,501,4127,4126,49.90%,                50.01%,49.79%,3,66.67%
114,677,yes,1.05,1271.00,-228762.95,+0.00%,500,500,4153,4108,50.00%,                50.27%,49.99%,2,100.00%
115,635,yes,2.15,1273.15,-228760.80,+0.00%,499,501,4136,4127,49.90%,                50.05%,49.79%,4,50.00%
116,453,yes,1.25,1274.40,-228759.55,+0.00%,498,502,4120,4148,49.80%,                49.83%,49.59%,2,100.00%
117,559,no,3.75,1278.15,-228755.80,+0.00%,497,503,4108,4166,49.70%,                49.65%,49.39%,4,50.00%
118,572,no,9.85,1288.00,-228745.95,+0.00%,498,502,4120,4153,49.80%,                49.80%,49.59%,5,40.00%
119,31,no,4.95,1292.95,-228741.00,+0.00%,499,501,4143,4137,49.90%,                50.04%,49.79%,3,66.67%
120,26,yes,8.05,1301.00,-228732.95,+0.00%,500,500,4164,4120,50.00%,                50.27%,49.99%,2,100.00%
121,716,yes,2.15,1303.15,-228730.80,+0.00%,499,501,4150,4143,49.90%,                50.04%,49.79%,3,66.67%
122,19,no,4.85,1308.00,-228725.95,+0.00%,498,502,4137,4161,49.80%,                49.86%,49.59%,2,100.00%
123,265,no,5.95,1313.95,-228720.00,+0.00%,499,501,4155,4145,49.90%,                50.06%,49.79%,5,40.00%
124,909,yes,0.05,1314.00,-228719.95,+0.00%,500,500,4174,4131,50.00%,                50.26%,49.99%,4,50.00%
125,206,no,2.95,1316.95,-228717.00,+0.00%,499,501,4157,4149,49.90%,                50.05%,49.79%,5,40.00%
126,779,no,2.05,1319.00,-228714.95,+0.00%,500,500,4170,4138,50.00%,                50.19%,49.99%,3,66.67%
127,20,yes,7.95,1326.95,-228707.00,+0.00%,501,499,4183,4128,50.10%,                50.33%,50.20%,4,50.00%
128,927,yes,1.05,1328.00,-228705.95,+0.00%,500,500,4171,4147,50.00%,                50.14%,49.99%,2,100.00%
129,207,no,2.95,1330.95,-228703.00,+0.00%,499,501,4160,4160,49.90%,                50.00%,49.79%,7,28.57%
130,438,no,4.05,1335.00,-228698.95,+0.00%,500,500,4173,4149,50.00%,                50.14%,50.00%,7,28.57%
131,345,yes,3.95,1338.95,-228695.00,+0.00%,501,499,4188,4139,50.10%,                50.29%,50.20%,3,66.67%
132,245,yes,0.05,1339.00,-228694.95,+0.00%,500,500,4172,4158,50.00%,                50.08%,50.00%,3,66.67%
133,23,yes,1.15,1340.15,-228693.80,+0.00%,499,501,4159,4172,49.90%,                49.92%,49.80%,7,28.57%
134,357,no,2.85,1343.00,-228690.95,+0.00%,498,502,4141,4194,49.80%,                49.68%,49.60%,2,100.00%
135,35,no,4.95,1347.95,-228686.00,+0.00%,499,501,4162,4173,49.90%,                49.93%,49.80%,2,100.00%
136,747,yes,1.05,1349.00,-228684.95,+0.00%,500,500,4180,4159,50.00%,                50.13%,50.00%,4,50.00%
137,693,no,0.95,1349.95,-228684.00,+0.00%,499,501,4160,4181,49.90%,                49.87%,49.80%,4,50.00%
138,558,no,3.05,1353.00,-228680.95,+0.00%,500,500,4179,4162,50.00%,                50.10%,50.00%,3,66.67%
139,806,yes,1.95,1354.95,-228679.00,+0.00%,501,499,4200,4145,50.10%,                50.33%,50.20%,3,66.67%
140,356,no,2.05,1357.00,-228676.95,+0.00%,500,500,4190,4156,50.00%,                50.20%,49.99%,2,100.00%
141,69,no,6.15,1363.15,-228670.80,+0.00%,501,499,4211,4138,50.10%,                50.44%,50.19%,2,100.00%
142,504,yes,4.85,1368.00,-228665.95,+0.00%,502,498,4226,4132,50.20%,                50.56%,50.40%,2,100.00%
143,763,no,0.15,1368.15,-228665.80,+0.00%,501,499,4208,4152,50.10%,                50.33%,50.20%,5,40.00%
144,112,yes,5.85,1374.00,-228659.95,+0.00%,502,498,4220,4143,50.20%,                50.46%,50.40%,2,100.00%
145,764,yes,1.95,1375.95,-228658.00,+0.00%,501,499,4205,4161,50.10%,                50.26%,50.20%,7,28.57%
146,154,yes,3.05,1379.00,-228654.95,+0.00%,500,500,4197,4170,50.00%,                50.16%,49.99%,2,100.00%
147,428,no,7.95,1386.95,-228647.00,+0.00%,499,501,4181,4190,49.90%,                49.95%,49.80%,5,40.00%
148,196,no,7.05,1394.00,-228639.95,+0.00%,500,500,4202,4176,50.00%,                50.16%,50.00%,2,100.00%
149,544,yes,0.95,1394.95,-228639.00,+0.00%,501,499,4224,4162,50.10%,                50.37%,50.19%,6,33.33%
150,684,yes,1.05,1396.00,-228637.95,+0.00%,500,500,4203,4183,50.00%,                50.12%,50.00%,12,16.67%
151,523,no,3.95,1399.95,-228634.00,+0.00%,499,501,4183,4205,49.90%,                49.87%,49.80%,4,50.00%
152,286,no,0.05,1400.00,-228633.95,+0.00%,500,500,4203,4188,50.00%,                50.09%,50.00%,2,100.00%
153,575,yes,7.95,1407.95,-228626.00,+0.00%,501,499,4215,4177,50.10%,                50.23%,50.20%,11,18.18%
154,51,no,12.05,1420.00,-228613.95,+0.01%,500,500,4197,4202,50.00%,                49.97%,50.00%,2,100.00%
155,53,yes,1.95,1421.95,-228612.00,+0.00%,501,499,4216,4196,50.10%,                50.12%,50.20%,2,100.00%
156,691,yes,2.05,1424.00,-228609.95,+0.00%,500,500,4199,4214,50.00%,                49.91%,50.00%,2,100.00%
