iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
456,543,no,2.05,2308.00,-227725.95,+0.00%,500,500,4600,4697,50.00%,                49.48%,50.02%,12,16.67%
457,489,yes,2.95,2310.95,-227723.00,+0.00%,501,499,4615,4685,50.10%,                49.62%,50.22%,5,40.00%
458,846,yes,0.05,2311.00,-227722.95,+0.00%,500,500,4605,4697,50.00%,                49.51%,50.02%,3,66.67%
459,485,yes,0.15,2311.15,-227722.80,+0.00%,499,501,4591,4712,49.90%,                49.35%,49.82%,2,100.00%
460,252,no,0.85,2312.00,-227721.95,+0.00%,498,502,4579,4727,49.80%,                49.20%,49.62%,5,40.00%
461,39,yes,1.15,2313.15,-227720.80,+0.00%,499,501,4599,4705,49.90%,                49.43%,49.82%,2,100.00%
462,40,no,2.85,2316.00,-227717.95,+0.00%,498,502,4591,4717,49.80%,                49.32%,49.61%,7,28.57%
463,830,yes,2.15,2318.15,-227715.80,+0.00%,499,501,4605,4703,49.90%,                49.47%,49.81%,8,25.00%
464,599,no,0.85,2319.00,-227714.95,+0.00%,498,502,4589,4724,49.80%,                49.28%,49.61%,13,15.38%
465,48,no,0.95,2319.95,-227714.00,+0.00%,499,501,4603,4708,49.90%,                49.44%,49.81%,15,13.33%
466,398,yes,1.05,2321.00,-227712.95,+0.00%,500,500,4622,4689,50.00%,                49.64%,50.01%,6,33.33%
467,230,no,0.95,2321.95,-227712.00,+0.00%,499,501,4605,4708,49.90%,                49.45%,49.81%,36,5.56%
468,257,yes,3.05,2325.00,-227708.95,+0.00%,500,500,4624,4689,50.00%,                49.65%,50.01%,8,25.00%
469,948,no,3.95,2328.95,-227705.00,+0.00%,499,501,4611,4706,49.90%,                49.49%,49.81%,10,20.00%
470,936,no,1.05,2330.00,-227703.95,+0.00%,500,500,4631,4689,50.00%,                49.69%,50.01%,27,7.41%
471,840,yes,0.95,2330.95,-227703.00,+0.00%,501,499,4648,4674,50.10%,                49.86%,50.21%,10,20.00%
472,742,yes,1.05,2332.00,-227701.95,+0.00%,500,500,4630,4692,50.00%,                49.67%,50.01%,9,22.22%
473,408,no,0.95,2332.95,-227701.00,+0.00%,499,501,4617,4707,49.90%,                49.52%,49.81%,6,33.33%
474,781,yes,1.05,2334.00,-227699.95,+0.00%,500,500,4632,4692,50.00%,                49.68%,50.01%,12,16.67%
475,119,no,1.95,2335.95,-227698.00,+0.00%,499,501,4622,4704,49.90%,                49.56%,49.81%,4,50.00%
476,732,yes,0.05,2336.00,-227697.95,+0.00%,500,500,4639,4688,50.00%,                49.74%,50.01%,12,16.67%
477,586,yes,1.15,2337.15,-227696.80,+0.00%,499,501,4626,4702,49.90%,                49.59%,49.81%,18,11.11%
478,903,no,1.85,2339.00,-227694.95,+0.00%,498,502,4615,4717,49.80%,                49.45%,49.61%,13,15.38%
479,914,no,3.95,2342.95,-227691.00,+0.00%,499,501,4624,4707,49.90%,                49.56%,49.81%,17,11.76%
480,159,yes,0.05,2343.00,-227690.95,+0.00%,500,500,4640,4694,50.00%,                49.71%,50.01%,42,4.76%
481,470,no,0.95,2343.95,-227690.00,+0.00%,499,501,4628,4707,49.90%,                49.58%,49.81%,36,5.56%
482,950,yes,1.05,2345.00,-227688.95,+0.00%,500,500,4641,4694,50.00%,                49.72%,50.01%,14,14.29%
483,907,no,1.95,2346.95,-227687.00,+0.00%,499,501,4628,4709,49.90%,                49.57%,49.81%,19,10.53%
484,102,yes,3.05,2350.00,-227683.95,+0.00%,500,500,4645,4693,50.00%,                49.74%,50.01%,2,100.00%
485,922,no,0.95,2350.95,-227683.00,+0.00%,499,501,4627,4715,49.90%,                49.53%,49.81%,49,4.08%
486,192,no,0.05,2351.00,-227682.95,+0.00%,500,500,4648,4694,50.00%,                49.75%,50.01%,72,2.78%
487,775,yes,0.95,2351.95,-227682.00,+0.00%,501,499,4660,4683,50.10%,                49.88%,50.21%,12,16.67%
488,480,no,3.05,2355.00,-227678.95,+0.00%,500,500,4646,4697,50.00%,                49.73%,50.01%,6,33.33%
489,924,yes,0.95,2355.95,-227678.00,+0.00%,501,499,4658,4689,50.10%,                49.83%,50.22%,7,28.57%
490,639,no,2.05,2358.00,-227675.95,+0.00%,500,500,4644,4703,50.00%,                49.68%,50.01%,14,14.29%
491,223,yes,2.95,2360.95,-227673.00,+0.00%,501,499,4656,4694,50.10%,                49.80%,50.22%,3,66.67%
492,403,yes,1.05,2362.00,-227671.95,+0.00%,500,500,4648,4704,50.00%,                49.70%,50.01%,3,66.67%
493,959,no,0.95,2362.95,-227671.00,+0.00%,499,501,4638,4716,49.90%,                49.58%,49.81%,10,20.00%
494,132,no,3.05,2366.00,-227667.95,+0.00%,500,500,4649,4705,50.00%,                49.70%,50.01%,15,13.33%
495,148,no,3.15,2369.15,-227664.80,+0.00%,501,499,4668,4690,50.10%,                49.88%,50.21%,59,3.39%
496,748,yes,2.85,2372.00,-227661.95,+0.00%,502,498,4686,4678,50.20%,                50.04%,50.42%,2,100.00%
497,128,yes,0.95,2372.95,-227661.00,+0.00%,501,499,4670,4694,50.10%,                49.87%,50.21%,24,8.33%
498,5,yes,1.05,2374.00,-227659.95,+0.00%,500,500,4662,4702,50.00%,                49.79%,50.01%,2,100.00%
499,623,yes,1.15,2375.15,-227658.80,+0.00%,499,501,4647,4719,49.90%,                49.62%,49.81%,10,20.00%
500,822,no,0.85,2376.00,-227657.95,+0.00%,498,502,4634,4736,49.80%,                49.46%,49.61%,4,50.00%
501,72,no,1.95,2377.95,-227656.00,+0.00%,499,501,4647,4721,49.90%,                49.61%,49.81%,31,6.45%
502,800,yes,1.05,2379.00,-227654.95,+0.00%,500,500,4662,4707,50.00%,                49.76%,50.01%,26,7.69%
503,456,no,1.95,2380.95,-227653.00,+0.00%,499,501,4648,4723,49.90%,                49.60%,49.81%,35,5.71%
504,731,yes,1.05,2382.00,-227651.95,+0.00%,500,500,4660,4712,50.00%,                49.72%,50.01%,3,66.67%
505,13,no,0.95,2382.95,-227651.00,+0.00%,499,501,4644,4730,49.90%,                49.54%,49.81%,21,9.52%
506,167,no,4.05,2387.00,-227646.95,+0.00%,500,500,4656,4718,50.00%,                49.67%,50.01%,7,28.57%
507,574,no,0.15,2387.15,-227646.80,+0.00%,501,499,4676,4703,50.10%,                49.86%,50.21%,30,6.67%
508,236,yes,0.85,2388.00,-227645.95,+0.00%,502,498,4689,4693,50.20%,                49.98%,50.42%,19,10.53%
509,848,yes,0.95,2388.95,-227645.00,+0.00%,501,499,4675,4705,50.10%,                49.84%,50.22%,8,25.00%
510,265,yes,0.05,2389.00,-227644.95,+0.00%,500,500,4666,4714,50.00%,                49.74%,50.01%,20,10.00%
511,727,no,2.95,2391.95,-227642.00,+0.00%,499,501,4650,4731,49.90%,                49.57%,49.81%,16,12.50%
512,438,no,0.05,2392.00,-227641.95,+0.00%,500,500,4669,4714,50.00%,                49.76%,50.01%,11,18.18%
513,747,yes,0.95,2392.95,-227641.00,+0.00%,501,499,4682,4702,50.10%,                49.89%,50.21%,16,12.50%
514,450,no,4.05,2397.00,-227636.95,+0.00%,500,500,4661,4723,50.00%,                49.67%,50.01%,37,5.41%
515,27,yes,0.95,2397.95,-227636.00,+0.00%,501,499,4685,4704,50.10%,                49.90%,50.21%,19,10.53%
516,691,yes,2.05,2400.00,-227633.95,+0.00%,500,500,4667,4722,50.00%,                49.71%,50.01%,7,28.57%
517,692,no,0.95,2400.95,-227633.00,+0.00%,499,501,4647,4745,49.90%,                49.48%,49.81%,13,15.38%
518,945,no,0.05,2401.00,-227632.95,+0.00%,500,500,4662,4730,50.00%,                49.64%,50.01%,39,5.13%
519,46,yes,2.95,2403.95,-227630.00,+0.00%,501,499,4678,4715,50.10%,                49.80%,50.22%,62,3.23%
520,94,yes,1.05,2405.00,-227628.95,+0.00%,500,500,4670,4725,50.00%,                49.71%,50.01%,24,8.33%
521,404,no,0.95,2405.95,-227628.00,+0.00%,499,501,4658,4739,49.90%,                49.57%,49.81%,17,11.76%
522,52,yes,2.05,2408.00,-227625.95,+0.00%,500,500,4678,4719,50.00%,                49.78%,50.01%,14,14.29%
523,979,no,1.95,2409.95,-227624.00,+0.00%,499,501,4665,4735,49.90%,                49.63%,49.81%,28,7.14%
524,823,yes,0.05,2410.00,-227623.95,+0.00%,500,500,4690,4711,50.00%,                49.89%,50.00%,39,5.13%
525,222,yes,0.15,2410.15,-227623.80,+0.00%,499,501,4674,4728,49.90%,                49.71%,49.80%,51,3.92%
526,676,no,4.85,2415.00,-227618.95,+0.00%,498,502,4665,4740,49.80%,                49.60%,49.60%,2,100.00%
527,394,yes,0.15,2415.15,-227618.80,+0.00%,499,501,4680,4727,49.90%,                49.75%,49.80%,16,12.50%
528,346,no,2.85,2418.00,-227615.95,+0.00%,498,502,4664,4746,49.80%,                49.56%,49.60%,43,4.65%
529,502,no,0.95,2418.95,-227615.00,+0.00%,499,501,4672,4738,49.90%,                49.65%,49.81%,111,1.80%
530,920,no,1.05,2420.00,-227613.95,+0.00%,500,500,4686,4724,50.00%,                49.80%,50.01%,3,66.67%
531,578,yes,3.95,2423.95,-227610.00,+0.00%,501,499,4706,4706,50.10%,                50.00%,50.21%,12,16.67%
532,349,yes,1.05,2425.00,-227608.95,+0.00%,500,500,4688,4727,50.00%,                49.79%,50.01%,29,6.90%
533,580,no,0.95,2425.95,-227608.00,+0.00%,499,501,4671,4746,49.90%,                49.60%,49.81%,4,50.00%
534,166,yes,7.05,2433.00,-227600.95,+0.00%,500,500,4685,4732,50.00%,                49.75%,50.01%,6,33.33%
535,966,no,2.95,2435.95,-227598.00,+0.00%,499,501,4668,4757,49.90%,                49.53%,49.81%,14,14.29%
536,319,yes,0.05,2436.00,-227597.95,+0.00%,500,500,4679,4748,50.00%,                49.63%,50.02%,61,3.28%
537,924,no,0.95,2436.95,-227597.00,+0.00%,499,501,4664,4764,49.90%,                49.47%,49.81%,8,25.00%
538,653,no,3.05,2440.00,-227593.95,+0.00%,500,500,4678,4750,50.00%,                49.62%,50.02%,42,4.76%
539,85,no,0.15,2440.15,-227593.80,+0.00%,501,499,4695,4737,50.10%,                49.78%,50.22%,50,4.00%
540,147,yes,1.85,2442.00,-227591.95,+0.00%,502,498,4710,4725,50.20%,                49.92%,50.42%,32,6.25%
541,516,yes,1.95,2443.95,-227590.00,+0.00%,501,499,4691,4743,50.10%,                49.72%,50.22%,4,50.00%
542,57,yes,3.05,2447.00,-227586.95,+0.00%,500,500,4681,4754,50.00%,                49.61%,50.02%,88,2.27%
543,893,no,0.95,2447.95,-227586.00,+0.00%,499,501,4663,4776,49.90%,                49.40%,49.82%,46,4.35%
544,188,no,1.05,2449.00,-227584.95,+0.00%,500,500,4675,4764,50.00%,                49.53%,50.02%,13,15.38%
545,206,yes,0.95,2449.95,-227584.00,+0.00%,501,499,4691,4750,50.10%,                49.69%,50.22%,65,3.08%
546,763,yes,0.05,2450.00,-227583.95,+0.00%,500,500,4679,4762,50.00%,                49.56%,50.02%,48,4.17%
547,32,no,0.95,2450.95,-227583.00,+0.00%,499,501,4669,4773,49.90%,                49.45%,49.81%,96,2.08%
548,919,yes,0.05,2451.00,-227582.95,+0.00%,500,500,4687,4755,50.00%,                49.64%,50.01%,18,11.11%
549,153,no,0.95,2451.95,-227582.00,+0.00%,499,501,4680,4763,49.90%,                49.56%,49.81%,20,10.00%
550,753,no,0.05,2452.00,-227581.95,+0.00%,500,500,4695,4748,50.00%,                49.72%,50.01%,8,25.00%
551,455,yes,0.95,2452.95,-227581.00,+0.00%,501,499,4718,4726,50.10%,                49.96%,50.21%,11,18.18%
552,288,no,0.05,2453.00,-227580.95,+0.00%,500,500,4698,4746,50.00%,                49.75%,50.01%,54,3.70%
553,855,yes,1.95,2454.95,-227579.00,+0.00%,501,499,4719,4726,50.10%,                49.96%,50.21%,13,15.38%
554,661,yes,0.05,2455.00,-227578.95,+0.00%,500,500,4709,4737,50.00%,                49.85%,50.01%,63,3.17%
555,801,yes,0.15,2455.15,-227578.80,+0.00%,499,501,4698,4749,49.90%,                49.73%,49.80%,52,3.85%
556,987,no,2.85,2458.00,-227575.95,+0.00%,498,502,4684,4766,49.80%,                49.57%,49.60%,12,16.67%
557,787,no,3.95,2461.95,-227572.00,+0.00%,499,501,4695,4755,49.90%,                49.68%,49.81%,92,2.17%
558,722,yes,1.05,2463.00,-227570.95,+0.00%,500,500,4713,4740,50.00%,                49.86%,50.01%,37,5.41%
559,519,no,0.95,2463.95,-227570.00,+0.00%,499,501,4699,4756,49.90%,                49.70%,49.80%,193,1.04%
560,296,yes,0.05,2464.00,-227569.95,+0.00%,500,500,4715,4740,50.00%,                49.87%,50.01%,11,18.18%
561,347,no,1.95,2465.95,-227568.00,+0.00%,499,501,4703,4753,49.90%,                49.74%,49.80%,11,18.18%
562,708,no,0.05,2466.00,-227567.95,+0.00%,500,500,4723,4734,50.00%,                49.94%,50.00%,56,3.57%
563,807,yes,1.95,2467.95,-227566.00,+0.00%,501,499,4735,4723,50.10%,                50.06%,50.21%,59,3.39%
564,144,no,2.05,2470.00,-227563.95,+0.00%,500,500,4721,4738,50.00%,                49.91%,50.00%,104,1.92%
565,918,yes,2.95,2472.95,-227561.00,+0.00%,501,499,4737,4725,50.10%,                50.06%,50.21%,165,1.21%
566,152,no,0.05,2473.00,-227560.95,+0.00%,500,500,4726,4738,50.00%,                49.94%,50.00%,46,4.35%
567,153,yes,0.95,2473.95,-227560.00,+0.00%,501,499,4747,4718,50.10%,                50.15%,50.20%,31,6.45%
568,514,yes,0.05,2474.00,-227559.95,+0.00%,500,500,4732,4733,50.00%,                49.99%,50.00%,109,1.83%
569,916,yes,1.15,2475.15,-227558.80,+0.00%,499,501,4715,4751,49.90%,                49.81%,49.80%,165,1.21%
570,460,no,0.85,2476.00,-227557.95,+0.00%,498,502,4707,4763,49.80%,                49.70%,49.60%,29,6.90%
571,820,no,1.95,2477.95,-227556.00,+0.00%,499,501,4720,4748,49.90%,                49.85%,49.80%,248,0.81%
572,947,no,1.05,2479.00,-227554.95,+0.00%,500,500,4739,4730,50.00%,                50.05%,50.00%,3,66.67%
573,516,no,0.15,2479.15,-227554.80,+0.00%,501,499,4760,4711,50.10%,                50.26%,50.20%,66,3.03%
574,127,yes,0.85,2480.00,-227553.95,+0.00%,502,498,4772,4702,50.20%,                50.37%,50.40%,15,13.33%
575,658,yes,0.95,2480.95,-227553.00,+0.00%,501,499,4759,4713,50.10%,                50.24%,50.20%,58,3.45%
576,730,no,3.05,2484.00,-227549.95,+0.00%,500,500,4746,4726,50.00%,                50.11%,50.00%,92,2.17%
577,112,no,0.15,2484.15,-227549.80,+0.00%,501,499,4769,4707,50.10%,                50.33%,50.19%,95,2.11%
578,80,yes,1.85,2486.00,-227547.95,+0.00%,502,498,4787,4692,50.20%,                50.50%,50.40%,19,10.53%
579,992,no,0.15,2486.15,-227547.80,+0.00%,501,499,4776,4702,50.10%,                50.39%,50.19%,89,2.25%
580,252,yes,0.85,2487.00,-227546.95,+0.00%,502,498,4795,4686,50.20%,                50.57%,50.39%,52,3.85%
581,599,yes,0.95,2487.95,-227546.00,+0.00%,501,499,4773,4706,50.10%,                50.35%,50.19%,27,7.41%
582,48,yes,1.05,2489.00,-227544.95,+0.00%,500,500,4758,4721,50.00%,                50.20%,49.99%,15,13.33%
583,624,yes,3.15,2492.15,-227541.80,+0.00%,499,501,4740,4741,49.90%,                49.99%,49.79%,164,1.22%
584,473,no,1.85,2494.00,-227539.95,+0.00%,498,502,4726,4761,49.80%,                49.82%,49.59%,31,6.45%
585,845,no,0.95,2494.95,-227539.00,+0.00%,499,501,4745,4741,49.90%,                50.02%,49.79%,68,2.94%
586,686,yes,1.05,2496.00,-227537.95,+0.00%,500,500,4758,4728,50.00%,                50.16%,49.99%,49,4.08%
587,961,no,0.95,2496.95,-227537.00,+0.00%,499,501,4745,4743,49.90%,                50.01%,49.79%,59,3.39%
588,636,no,0.05,2497.00,-227536.95,+0.00%,500,500,4764,4724,50.00%,                50.21%,49.99%,86,2.33%
589,287,no,1.15,2498.15,-227535.80,+0.00%,501,499,4782,4707,50.10%,                50.40%,50.19%,34,5.88%
590,708,yes,1.85,2500.00,-227533.95,+0.00%,502,498,4802,4691,50.20%,                50.58%,50.39%,50,4.00%
591,268,yes,0.95,2500.95,-227533.00,+0.00%,501,499,4790,4702,50.10%,                50.46%,50.19%,87,2.30%
592,492,no,0.05,2501.00,-227532.95,+0.00%,500,500,4779,4713,50.00%,                50.35%,49.99%,14,14.29%
593,589,yes,0.95,2501.95,-227532.00,+0.00%,501,499,4792,4701,50.10%,                50.48%,50.19%,11,18.18%
594,602,no,1.05,2503.00,-227530.95,+0.00%,500,500,4783,4710,50.00%,                50.38%,49.98%,20,10.00%
595,463,yes,0.95,2503.95,-227530.00,+0.00%,501,499,4796,4699,50.10%,                50.51%,50.19%,3,66.67%
596,241,yes,0.05,2504.00,-227529.95,+0.00%,500,500,4781,4714,50.00%,                50.35%,49.99%,170,1.18%
597,577,no,1.95,2505.95,-227528.00,+0.00%,499,501,4769,4727,49.90%,                50.22%,49.78%,44,4.55%
598,371,no,0.05,2506.00,-227527.95,+0.00%,500,500,4782,4715,50.00%,                50.35%,49.99%,55,3.64%
599,718,yes,1.95,2507.95,-227526.00,+0.00%,501,499,4797,4701,50.10%,                50.51%,50.19%,42,4.76%
600,94,no,1.05,2509.00,-227524.95,+0.00%,500,500,4781,4718,50.00%,                50.33%,49.99%,13,15.38%
601,251,yes,0.95,2509.95,-227524.00,+0.00%,501,499,4795,4706,50.10%,                50.47%,50.19%,32,6.25%
602,855,no,0.05,2510.00,-227523.95,+0.00%,500,500,4785,4716,50.00%,                50.36%,49.98%,3,66.67%
603,175,yes,2.95,2512.95,-227521.00,+0.00%,501,499,4796,4706,50.10%,                50.47%,50.19%,50,4.00%
604,903,yes,0.05,2513.00,-227520.95,+0.00%,500,500,4788,4716,50.00%,                50.38%,49.98%,95,2.11%
605,652,no,0.95,2513.95,-227520.00,+0.00%,499,501,4779,4726,49.90%,                50.28%,49.78%,184,1.09%
606,924,yes,1.05,2515.00,-227518.95,+0.00%,500,500,4796,4709,50.00%,                50.46%,49.98%,83,2.41%
607,312,no,3.95,2518.95,-227515.00,+0.00%,499,501,4783,4724,49.90%,                50.31%,49.78%,67,2.99%
608,708,no,0.05,2519.00,-227514.95,+0.00%,500,500,4801,4709,50.00%,                50.48%,49.98%,45,4.44%
609,893,yes,0.95,2519.95,-227514.00,+0.00%,501,499,4813,4698,50.10%,                50.60%,50.18%,147,1.36%
610,374,no,1.05,2521.00,-227512.95,+0.00%,500,500,4801,4710,50.00%,                50.48%,49.98%,216,0.93%
611,628,yes,0.95,2521.95,-227512.00,+0.00%,501,499,4818,4695,50.10%,                50.65%,50.18%,252,0.79%
612,903,no,0.05,2522.00,-227511.95,+0.00%,500,500,4805,4708,50.00%,                50.51%,49.98%,14,14.29%
613,348,yes,0.95,2522.95,-227511.00,+0.00%,501,499,4815,4699,50.10%,                50.61%,50.18%,4,50.00%
614,70,yes,0.05,2523.00,-227510.95,+0.00%,500,500,4802,4712,50.00%,                50.47%,49.98%,5,40.00%
615,271,no,1.95,2524.95,-227509.00,+0.00%,499,501,4792,4723,49.90%,                50.36%,49.78%,157,1.27%
616,205,yes,0.05,2525.00,-227508.95,+0.00%,500,500,4807,4709,50.00%,                50.51%,49.98%,7,28.57%
617,216,no,0.95,2525.95,-227508.00,+0.00%,499,501,4794,4723,49.90%,                50.37%,49.78%,33,6.06%
618,664,no,0.05,2526.00,-227507.95,+0.00%,500,500,4808,4709,50.00%,                50.52%,49.98%,44,4.55%
619,636,yes,1.95,2527.95,-227506.00,+0.00%,501,499,4819,4699,50.10%,                50.63%,50.18%,50,4.00%
620,495,no,0.05,2528.00,-227505.95,+0.00%,500,500,4802,4717,50.00%,                50.45%,49.98%,82,2.44%
621,13,yes,0.95,2528.95,-227505.00,+0.00%,501,499,4820,4700,50.10%,                50.63%,50.18%,138,1.45%
622,333,no,0.05,2529.00,-227504.95,+0.00%,500,500,4808,4712,50.00%,                50.50%,49.98%,159,1.26%
623,362,no,0.15,2529.15,-227504.80,+0.00%,501,499,4818,4703,50.10%,                50.60%,50.18%,159,1.26%
624,344,yes,0.85,2530.00,-227503.95,+0.00%,502,498,4836,4688,50.20%,                50.78%,50.38%,18,11.11%
625,979,yes,1.95,2531.95,-227502.00,+0.00%,501,499,4816,4706,50.10%,                50.58%,50.18%,37,5.41%
626,925,yes,0.05,2532.00,-227501.95,+0.00%,500,500,4792,4731,50.00%,                50.32%,49.99%,85,2.35%
627,628,no,0.95,2532.95,-227501.00,+0.00%,499,501,4772,4752,49.90%,                50.10%,49.79%,24,8.33%
628,436,yes,0.05,2533.00,-227500.95,+0.00%,500,500,4785,4739,50.00%,                50.24%,49.99%,39,5.13%
629,775,no,0.95,2533.95,-227500.00,+0.00%,499,501,4766,4759,49.90%,                50.04%,49.79%,230,0.87%
630,347,yes,0.05,2534.00,-227499.95,+0.00%,500,500,4780,4745,50.00%,                50.18%,49.99%,67,2.99%
631,4,no,1.95,2535.95,-227498.00,+0.00%,499,501,4761,4765,49.90%,                49.98%,49.79%,47,4.26%
632,353,no,1.05,2537.00,-227496.95,+0.00%,500,500,4781,4746,50.00%,                50.18%,49.99%,4,50.00%
633,708,yes,1.95,2538.95,-227495.00,+0.00%,501,499,4801,4728,50.10%,                50.38%,50.19%,7,28.57%
634,484,yes,1.05,2540.00,-227493.95,+0.00%,500,500,4790,4740,50.00%,                50.26%,49.99%,101,1.98%
635,13,no,0.95,2540.95,-227493.00,+0.00%,499,501,4772,4760,49.90%,                50.06%,49.79%,37,5.41%
636,112,yes,0.05,2541.00,-227492.95,+0.00%,500,500,4784,4748,50.00%,                50.19%,49.99%,135,1.48%
637,25,no,1.95,2542.95,-227491.00,+0.00%,499,501,4768,4765,49.90%,                50.02%,49.79%,17,11.76%
638,811,no,5.05,2548.00,-227485.95,+0.00%,500,500,4782,4752,50.00%,                50.16%,49.99%,128,1.56%
639,387,yes,1.95,2549.95,-227484.00,+0.00%,501,499,4804,4736,50.10%,                50.36%,50.19%,23,8.70%
640,617,yes,1.05,2551.00,-227482.95,+0.00%,500,500,4790,4751,50.00%,                50.20%,49.99%,223,0.90%
641,391,yes,0.15,2551.15,-227482.80,+0.00%,499,501,4771,4772,49.90%,                49.99%,49.79%,198,1.01%
642,705,no,0.85,2552.00,-227481.95,+0.00%,498,502,4762,4784,49.80%,                49.88%,49.59%,24,8.33%
643,556,no,0.95,2552.95,-227481.00,+0.00%,499,501,4771,4773,49.90%,                49.99%,49.79%,24,8.33%
644,341,no,0.05,2553.00,-227480.95,+0.00%,500,500,4783,4761,50.00%,                50.12%,50.00%,16,12.50%
645,959,yes,0.95,2553.95,-227480.00,+0.00%,501,499,4792,4753,50.10%,                50.20%,50.20%,2,100.00%
646,128,no,1.05,2555.00,-227478.95,+0.00%,500,500,4781,4764,50.00%,                50.09%,50.00%,97,2.06%
647,858,yes,0.95,2555.95,-227478.00,+0.00%,501,499,4790,4757,50.10%,                50.17%,50.20%,363,0.55%
648,485,no,0.05,2556.00,-227477.95,+0.00%,500,500,4776,4771,50.00%,                50.03%,50.00%,50,4.00%
649,94,yes,0.95,2556.95,-227477.00,+0.00%,501,499,4790,4758,50.10%,                50.17%,50.20%,27,7.41%
650,812,yes,2.05,2559.00,-227474.95,+0.00%,500,500,4777,4771,50.00%,                50.03%,50.00%,47,4.26%
651,721,no,0.95,2559.95,-227474.00,+0.00%,499,501,4759,4792,49.90%,                49.83%,49.80%,4,50.00%
652,877,yes,0.05,2560.00,-227473.95,+0.00%,500,500,4776,4775,50.00%,                50.01%,50.00%,16,12.50%
653,629,no,0.95,2560.95,-227473.00,+0.00%,499,501,4761,4791,49.90%,                49.84%,49.80%,387,0.52%
654,763,no,0.05,2561.00,-227472.95,+0.00%,500,500,4771,4781,50.00%,                49.95%,50.00%,371,0.54%
655,32,yes,0.95,2561.95,-227472.00,+0.00%,501,499,4782,4771,50.10%,                50.06%,50.21%,96,2.08%
656,435,yes,0.05,2562.00,-227471.95,+0.00%,500,500,4764,4789,50.00%,                49.87%,50.01%,165,1.21%
657,710,yes,0.15,2562.15,-227471.80,+0.00%,499,501,4745,4809,49.90%,                49.67%,49.81%,43,4.65%
658,222,no,1.85,2564.00,-227469.95,+0.00%,498,502,4731,4826,49.80%,                49.50%,49.60%,24,8.33%
659,573,no,1.95,2565.95,-227468.00,+0.00%,499,501,4741,4815,49.90%,                49.61%,49.81%,32,6.25%
660,907,yes,0.05,2566.00,-227467.95,+0.00%,500,500,4759,4798,50.00%,                49.80%,50.01%,125,1.60%
661,959,no,0.95,2566.95,-227467.00,+0.00%,499,501,4743,4815,49.90%,                49.62%,49.81%,169,1.18%
662,939,yes,1.05,2568.00,-227465.95,+0.00%,500,500,4754,4804,50.00%,                49.74%,50.01%,316,0.63%
663,241,no,1.95,2569.95,-227464.00,+0.00%,499,501,4738,4822,49.90%,                49.56%,49.81%,69,2.90%
664,660,no,0.05,2570.00,-227463.95,+0.00%,500,500,4751,4810,50.00%,                49.69%,50.01%,2,100.00%
665,433,no,1.15,2571.15,-227462.80,+0.00%,501,499,4763,4799,50.10%,                49.81%,50.22%,4,50.00%
666,51,yes,1.85,2573.00,-227460.95,+0.00%,502,498,4779,4787,50.20%,                49.96%,50.42%,11,18.18%
667,59,yes,0.95,2573.95,-227460.00,+0.00%,501,499,4766,4799,50.10%,                49.83%,50.22%,262,0.76%
668,837,yes,1.05,2575.00,-227458.95,+0.00%,500,500,4753,4812,50.00%,                49.69%,50.01%,2,100.00%
669,963,no,0.95,2575.95,-227458.00,+0.00%,499,501,4742,4825,49.90%,                49.57%,49.81%,424,0.47%
670,9,yes,0.05,2576.00,-227457.95,+0.00%,500,500,4759,4808,50.00%,                49.74%,50.01%,79,2.53%
671,893,no,0.95,2576.95,-227457.00,+0.00%,499,501,4743,4825,49.90%,                49.57%,49.81%,71,2.82%
672,252,no,1.05,2578.00,-227455.95,+0.00%,500,500,4755,4813,50.00%,                49.70%,50.01%,282,0.71%
673,222,yes,1.95,2579.95,-227454.00,+0.00%,501,499,4777,4793,50.10%,                49.92%,50.21%,167,1.20%
674,961,yes,1.05,2581.00,-227452.95,+0.00%,500,500,4767,4804,50.00%,                49.81%,50.01%,241,0.83%
675,555,no,2.95,2583.95,-227450.00,+0.00%,499,501,4749,4824,49.90%,                49.61%,49.81%,194,1.03%
676,440,yes,0.05,2584.00,-227449.95,+0.00%,500,500,4764,4811,50.00%,                49.75%,50.01%,57,3.51%
677,900,yes,0.15,2584.15,-227449.80,+0.00%,499,501,4756,4820,49.90%,                49.67%,49.81%,6,33.33%
678,484,no,0.85,2585.00,-227448.95,+0.00%,498,502,4741,4838,49.80%,                49.49%,49.60%,14,14.29%
679,321,no,0.95,2585.95,-227448.00,+0.00%,499,501,4759,4818,49.90%,                49.69%,49.80%,82,2.44%
680,113,yes,0.05,2586.00,-227447.95,+0.00%,500,500,4777,4800,50.00%,                49.88%,50.01%,498,0.40%
681,127,no,0.95,2586.95,-227447.00,+0.00%,499,501,4765,4813,49.90%,                49.75%,49.80%,351,0.57%
682,854,yes,1.05,2588.00,-227445.95,+0.00%,500,500,4777,4801,50.00%,                49.87%,50.01%,66,3.03%
683,848,no,0.95,2588.95,-227445.00,+0.00%,499,501,4758,4822,49.90%,                49.67%,49.81%,104,1.92%
684,568,yes,0.05,2589.00,-227444.95,+0.00%,500,500,4767,4813,50.00%,                49.76%,50.01%,598,0.33%
