iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
244,158535,0,                       0,158545,158545,0,                       0,158535
245,158536,0,                       0,158544,158544,0,                       0,158536
246,158537,0,                       0,158543,158543,0,                       0,158537
247,158538,0,                       0,158542,158542,0,                       0,158538
248,158539,0,                       0,158541,158541,0,                       0,158539
249,158540,0,                       0,158540,158540,0,                       0,158540
250,158541,0,                       0,158539,158539,0,                       0,158541
251,158542,0,                       0,158538,158538,0,                       0,158542
252,158543,0,                       0,158537,158537,0,                       0,158543
253,158542,0,                       0,158538,158538,0,                       0,158542
254,158541,0,                       0,158539,158539,0,                       0,158541
255,158540,0,                       0,158540,158540,0,                       0,158540
256,158539,0,                       0,158541,158541,0,                       0,158539
257,158540,0,                       0,158540,158540,0,                       0,158540
258,158539,0,                       0,158541,158541,0,                       0,158539
259,158540,0,                       0,158540,158540,0,                       0,158540
260,158541,0,                       0,158539,158539,0,                       0,158541
261,158542,0,                       0,158538,158538,0,                       0,158542
262,158541,0,                       0,158539,158539,0,                       0,158541
263,158540,0,                       0,158540,158540,0,                       0,158540
264,158541,0,                       0,158539,158539,0,                       0,158541
265,158540,0,                       0,158540,158540,0,                       0,158540
266,158541,0,                       0,158539,158539,0,                       0,158541
267,158542,0,                       0,158538,158538,0,                       0,158542
268,158541,0,                       0,158539,158539,0,                       0,158541
269,158542,0,                       0,158538,158538,0,                       0,158542
270,158543,0,                       0,158537,158537,0,                       0,158543
271,158542,0,                       0,158538,158538,0,                       0,158542
272,158541,0,                       0,158539,158539,0,                       0,158541
273,158540,0,                       0,158540,158540,0,                       0,158540
274,158539,0,                       0,158541,158541,0,                       0,158539
275,158538,0,                       0,158542,158542,0,                       0,158538
276,158539,0,                       0,158541,158541,0,                       0,158539
277,158540,0,                       0,158540,158540,0,                       0,158540
278,158539,0,                       0,158541,158541,0,                       0,158539
279,158540,0,                       0,158540,158540,0,                       0,158540
280,158541,0,                       0,158539,158539,0,                       0,158541
281,158540,0,                       0,158540,158540,0,                       0,158540
282,158541,0,                       0,158539,158539,0,                       0,158541
283,158540,0,                       0,158540,158540,0,                       0,158540
284,158539,0,                       0,158541,158541,0,                       0,158539
285,158540,0,                       0,158540,158540,0,                       0,158540
286,158539,0,                       0,158541,158541,0,                       0,158539
287,158538,0,                       0,158542,158542,0,                       0,158538
288,158537,0,                       0,158543,158543,0,                       0,158537
289,158536,0,                       0,158544,158544,0,                       0,158536
290,158537,0,                       0,158543,158543,0,                       0,158537
291,158538,0,                       0,158542,158542,0,                       0,158538
292,158539,0,                       0,158541,158541,0,                       0,158539
293,158540,0,                       0,158540,158540,0,                       0,158540
294,158541,0,                       0,158539,158539,0,                       0,158541
295,158542,0,                       0,158538,158538,0,                       0,158542
296,158541,0,                       0,158539,158539,0,                       0,158541
297,158540,0,                       0,158540,158540,0,                       0,158540
298,158539,0,                       0,158541,158541,0,                       0,158539
299,158540,0,                       0,158540,158540,0,                       0,158540
300,158539,0,                       0,158541,158541,0,                       0,158539
301,158540,0,                       0,158540,158540,0,                       0,158540
302,158541,0,                       0,158539,158539,0,                       0,158541
303,158542,0,                       0,158538,158538,0,                       0,158542
304,158541,0,                       0,158539,158539,0,                       0,158541
305,158540,0,                       0,158540,158540,0,                       0,158540
306,158539,0,                       0,158541,158541,0,                       0,158539
307,158540,0,                       0,158540,158540,0,                       0,158540
308,158541,0,                       0,158539,158539,0,                       0,158541
309,158542,0,                       0,158538,158538,0,                       0,158542
310,158541,0,                       0,158539,158539,0,                       0,158541
311,158540,0,                       0,158540,158540,0,                       0,158540
312,158541,0,                       0,158539,158539,0,                       0,158541
313,158540,0,                       0,158540,158540,0,                       0,158540
314,158539,0,                       0,158541,158541,0,                       0,158539
315,158540,0,                       0,158540,158540,0,                       0,158540
316,158541,0,                       0,158539,158539,0,                       0,158541
317,158542,0,                       0,158538,158538,0,                       0,158542
318,158541,0,                       0,158539,158539,0,                       0,158541
319,158540,0,                       0,158540,158540,0,                       0,158540
320,158539,0,                       0,158541,158541,0,                       0,158539
321,158540,0,                       0,158540,158540,0,                       0,158540
322,158541,0,                       0,158539,158539,0,                       0,158541
323,158542,0,                       0,158538,158538,0,                       0,158542
324,158541,0,                       0,158539,158539,0,                       0,158541
325,158542,0,                       0,158538,158538,0,                       0,158542
326,158541,0,                       0,158539,158539,0,                       0,158541
327,158542,0,                       0,158538,158538,0,                       0,158542
328,158543,0,                       0,158537,158537,0,                       0,158543
329,158542,0,                       0,158538,158538,0,                       0,158542
330,158541,0,                       0,158539,158539,0,                       0,158541
331,158540,0,                       0,158540,158540,0,                       0,158540
332,158541,0,                       0,158539,158539,0,                       0,158541
333,158540,0,                       0,158540,158540,0,                       0,158540
334,158539,0,                       0,158541,158541,0,                       0,158539
335,158540,0,                       0,158540,158540,0,                       0,158540
336,158541,0,                       0,158539,158539,0,                       0,158541
337,158540,0,                       0,158540,158540,0,                       0,158540
338,158539,0,                       0,158541,158541,0,                       0,158539
339,158538,0,                       0,158542,158542,0,                       0,158538
340,158539,0,                       0,158541,158541,0,                       0,158539
341,158538,0,                       0,158542,158542,0,                       0,158538
342,158537,0,                       0,158543,158543,0,                       0,158537
343,158538,0,                       0,158542,158542,0,                       0,158538
344,158539,0,                       0,158541,158541,0,                       0,158539
345,158540,0,                       0,158540,158540,0,                       0,158540
346,158541,0,                       0,158539,158539,0,                       0,158541
347,158540,0,                       0,158540,158540,0,                       0,158540
348,158541,0,                       0,158539,158539,0,                       0,158541
349,158542,0,                       0,158538,158538,0,                       0,158542
350,158541,0,                       0,158539,158539,0,                       0,158541
351,158540,0,                       0,158540,158540,0,                       0,158540
352,158541,0,                       0,158539,158539,0,                       0,158541
353,158540,0,                       0,158540,158540,0,                       0,158540
354,158539,0,                       0,158541,158541,0,                       0,158539
355,158540,0,                       0,158540,158540,0,                       0,158540
356,158541,0,                       0,158539,158539,0,                       0,158541
357,158540,0,                       0,158540,158540,0,                       0,158540
358,158541,0,                       0,158539,158539,0,                       0,158541
359,158542,0,                       0,158538,158538,0,                       0,158542
360,158541,0,                       0,158539,158539,0,                       0,158541
361,158542,0,                       0,158538,158538,0,                       0,158542
362,158541,0,                       0,158539,158539,0,                       0,158541
363,158540,0,                       0,158540,158540,0,                       0,158540
364,158541,0,                       0,158539,158539,0,                       0,158541
365,158540,0,                       0,158540,158540,0,                       0,158540
366,158539,0,                       0,158541,158541,0,                       0,158539
367,158538,0,                       0,158542,158542,0,                       0,158538
368,158539,0,                       0,158541,158541,0,                       0,158539
369,158540,0,                       0,158540,158540,0,                       0,158540
370,158541,0,                       0,158539,158539,0,                       0,158541
371,158540,0,                       0,158540,158540,0,                       0,158540
372,158539,0,                       0,158541,158541,0,                       0,158539
373,158540,0,                       0,158540,158540,0,                       0,158540
374,158541,0,                       0,158539,158539,0,                       0,158541
375,158542,0,                       0,158538,158538,0,                       0,158542
376,158541,0,                       0,158539,158539,0,                       0,158541
377,158542,0,                       0,158538,158538,0,                       0,158542
378,158543,0,                       0,158537,158537,0,                       0,158543
379,158542,0,                       0,158538,158538,0,                       0,158542
380,158543,0,                       0,158537,158537,0,                       0,158543
381,158542,0,                       0,158538,158538,0,                       0,158542
382,158543,0,                       0,158537,158537,0,                       0,158543
383,158544,0,                       0,158536,158536,0,                       0,158544
384,158543,0,                       0,158537,158537,0,                       0,158543
385,158544,0,                       0,158536,158536,0,                       0,158544
386,158543,0,                       0,158537,158537,0,                       0,158543
387,158544,0,                       0,158536,158536,0,                       0,158544
388,158543,0,                       0,158537,158537,0,                       0,158543
389,158542,0,                       0,158538,158538,0,                       0,158542
390,158543,0,                       0,158537,158537,0,                       0,158543
391,158542,0,                       0,158538,158538,0,                       0,158542
392,158541,0,                       0,158539,158539,0,                       0,158541
393,158540,0,                       0,158540,158540,0,                       0,158540
394,158541,0,                       0,158539,158539,0,                       0,158541
395,158540,0,                       0,158540,158540,0,                       0,158540
396,158541,0,                       0,158539,158539,0,                       0,158541
397,158540,0,                       0,158540,158540,0,                       0,158540
398,158541,0,                       0,158539,158539,0,                       0,158541
399,158542,0,                       0,158538,158538,0,                       0,158542
400,158541,0,                       0,158539,158539,0,                       0,158541
401,158542,0,                       0,158538,158538,0,                       0,158542
402,158541,0,                       0,158539,158539,0,                       0,158541
403,158542,0,                       0,158538,158538,0,                       0,158542
404,158541,0,                       0,158539,158539,0,                       0,158541
405,158542,0,                       0,158538,158538,0,                       0,158542
406,158541,0,                       0,158539,158539,0,                       0,158541
407,158542,0,                       0,158538,158538,0,                       0,158542
408,158541,0,                       0,158539,158539,0,                       0,158541
409,158542,0,                       0,158538,158538,0,                       0,158542
410,158541,0,                       0,158539,158539,0,                       0,158541
411,158540,0,                       0,158540,158540,0,                       0,158540
412,158539,0,                       0,158541,158541,0,                       0,158539
413,158538,0,                       0,158542,158542,0,                       0,158538
414,158539,0,                       0,158541,158541,0,                       0,158539
415,158538,0,                       0,158542,158542,0,                       0,158538
416,158539,0,                       0,158541,158541,0,                       0,158539
417,158540,0,                       0,158540,158540,0,                       0,158540
418,158541,0,                       0,158539,158539,0,                       0,158541
419,158540,0,                       0,158540,158540,0,                       0,158540
420,158539,0,                       0,158541,158541,0,                       0,158539
421,158540,0,                       0,158540,158540,0,                       0,158540
422,158541,0,                       0,158539,158539,0,                       0,158541
423,158540,0,                       0,158540,158540,0,                       0,158540
424,158541,0,                       0,158539,158539,0,                       0,158541
425,158540,0,                       0,158540,158540,0,                       0,158540
426,158541,0,                       0,158539,158539,0,                       0,158541
427,158542,0,                       0,158538,158538,0,                       0,158542
428,158543,0,                       0,158537,158537,0,                       0,158543
429,158542,0,                       0,158538,158538,0,                       0,158542
430,158543,0,                       0,158537,158537,0,                       0,158543
431,158542,0,                       0,158538,158538,0,                       0,158542
432,158541,0,                       0,158539,158539,0,                       0,158541
433,158540,0,                       0,158540,158540,0,                       0,158540
434,158539,0,                       0,158541,158541,0,                       0,158539
435,158540,0,                       0,158540,158540,0,                       0,158540
436,158541,0,                       0,158539,158539,0,                       0,158541
437,158540,0,                       0,158540,158540,0,                       0,158540
438,158539,0,                       0,158541,158541,0,                       0,158539
439,158540,0,                       0,158540,158540,0,                       0,158540
440,158541,0,                       0,158539,158539,0,                       0,158541
441,158540,0,                       0,158540,158540,0,                       0,158540
442,158539,0,                       0,158541,158541,0,                       0,158539
443,158538,0,                       0,158542,158542,0,                       0,158538
444,158539,0,                       0,158541,158541,0,                       0,158539
445,158540,0,                       0,158540,158540,0,                       0,158540
446,158541,0,                       0,158539,158539,0,                       0,158541
447,158540,0,                       0,158540,158540,0,                       0,158540
448,158541,0,                       0,158539,158539,0,                       0,158541
449,158540,0,                       0,158540,158540,0,                       0,158540
450,158539,0,                       0,158541,158541,0,                       0,158539
451,158538,0,                       0,158542,158542,0,                       0,158538
452,158539,0,                       0,158541,158541,0,                       0,158539
453,158540,0,                       0,158540,158540,0,                       0,158540
454,158539,0,                       0,158541,158541,0,                       0,158539
455,158538,0,                       0,158542,158542,0,                       0,158538
456,158537,0,                       0,158543,158543,0,                       0,158537
457,158538,0,                       0,158542,158542,0,                       0,158538
458,158537,0,                       0,158543,158543,0,                       0,158537
459,158536,0,                       0,158544,158544,0,                       0,158536
460,158537,0,                       0,158543,158543,0,                       0,158537
461,158538,0,                       0,158542,158542,0,                       0,158538
462,158537,0,                       0,158543,158543,0,                       0,158537
463,158538,0,                       0,158542,158542,0,                       0,158538
464,158539,0,                       0,158541,158541,0,                       0,158539
465,158540,0,                       0,158540,158540,0,                       0,158540
466,158539,0,                       0,158541,158541,0,                       0,158539
467,158540,0,                       0,158540,158540,0,                       0,158540
468,158541,0,                       0,158539,158539,0,                       0,158541
469,158540,0,                       0,158540,158540,0,                       0,158540
470,158539,0,                       0,158541,158541,0,                       0,158539
471,158540,0,                       0,158540,158540,0,                       0,158540
472,158541,0,                       0,158539,158539,0,                       0,158541
473,158540,0,                       0,158540,158540,0,                       0,158540
474,158539,0,                       0,158541,158541,0,                       0,158539
475,158540,0,                       0,158540,158540,0,                       0,158540
476,158541,0,                       0,158539,158539,0,                       0,158541
477,158540,0,                       0,158540,158540,0,                       0,158540
478,158541,0,                       0,158539,158539,0,                       0,158541
479,158540,0,                       0,158540,158540,0,                       0,158540
480,158541,0,                       0,158539,158539,0,                       0,158541
481,158540,0,                       0,158540,158540,0,                       0,158540
482,158539,0,                       0,158541,158541,0,                       0,158539
483,158538,0,                       0,158542,158542,0,                       0,158538
484,158539,0,                       0,158541,158541,0,                       0,158539
485,158540,0,                       0,158540,158540,0,                       0,158540
486,158539,0,                       0,158541,158541,0,                       0,158539
487,158540,0,                       0,158540,158540,0,                       0,158540
488,158541,0,                       0,158539,158539,0,                       0,158541
489,158540,0,                       0,158540,158540,0,                       0,158540
490,158541,0,                       0,158539,158539,0,                       0,158541
491,158542,0,                       0,158538,158538,0,                       0,158542
492,158541,0,                       0,158539,158539,0,                       0,158541
493,158540,0,                       0,158540,158540,0,                       0,158540
494,158539,0,                       0,158541,158541,0,                       0,158539
495,158540,0,                       0,158540,158540,0,                       0,158540
496,158541,0,                       0,158539,158539,0,                       0,158541
497,158540,0,                       0,158540,158540,0,                       0,158540
498,158539,0,                       0,158541,158541,0,                       0,158539
499,158540,0,                       0,158540,158540,0,                       0,158540
500,158539,0,                       0,158541,158541,0,                       0,158539
501,158540,0,                       0,158540,158540,0,                       0,158540
502,158541,0,                       0,158539,158539,0,                       0,158541
503,158540,0,                       0,158540,158540,0,                       0,158540
504,158539,0,                       0,158541,158541,0,                       0,158539
505,158540,0,                       0,158540,158540,0,                       0,158540
506,158539,0,                       0,158541,158541,0,                       0,158539
507,158540,0,                       0,158540,158540,0,                       0,158540
508,158541,0,                       0,158539,158539,0,                       0,158541
509,158540,0,                       0,158540,158540,0,                       0,158540
510,158541,0,                       0,158539,158539,0,                       0,158541
511,158540,0,                       0,158540,158540,0,                       0,158540
512,158539,0,                       0,158541,158541,0,                       0,158539
513,158538,0,                       0,158542,158542,0,                       0,158538
514,158539,0,                       0,158541,158541,0,                       0,158539
515,158538,0,                       0,158542,158542,0,                       0,158538
516,158539,0,                       0,158541,158541,0,                       0,158539
517,158538,0,                       0,158542,158542,0,                       0,158538
518,158539,0,                       0,158541,158541,0,                       0,158539
519,158540,0,                       0,158540,158540,0,                       0,158540
520,158541,0,                       0,158539,158539,0,                       0,158541
521,158540,0,                       0,158540,158540,0,                       0,158540
522,158541,0,                       0,158539,158539,0,                       0,158541
